OBJECTID,Shape_Leng,DISTRICT,STATE_UT,Shape_Area,Dist_LGD,REMARKS,STATE_LGD,system:index
241,319238.797953,SOLAN,Himachal Pradesh,1.88978734576E9,31,,2,000000000000000000ee
242,349596.851094,SIRMAUR,Himachal Pradesh,2.75532620296E9,32,,2,000000000000000000ef
243,422724.960723,KULLU,Himachal Pradesh,5.37932433397E9,26,,2,000000000000000000f0
244,561018.426293,CHAMBA,Himachal Pradesh,6.41137470761E9,23,,2,000000000000000000f1
245,335860.110422,MANDI,Himachal Pradesh,3.86714039841E9,27,,2,000000000000000000f2
246,571924.231106,K>NGRA,Himachal Pradesh,5.63380636109E9,24,,2,000000000000000000f3
247,188675.93912,HAM|RPUR,Himachal Pradesh,1.09245554865E9,28,,2,000000000000000000f4
248,248875.141617,UNA,Himachal Pradesh,1.50987751889E9,29,,2,000000000000000000f5
249,922255.375396,LAHUL & SPITI,Himachal Pradesh,1.36791509569E10,25,,2,000000000000000000f6
614,385056.483121,FIROZPUR,PUNJAB,2.31405324757E9,31,,3,0000000000000000025c
615,398856.01997,LUDHIANA,PUNJAB,3.59912829144E9,36,,3,0000000000000000025d
616,332146.977723,RUPNAGAR,PUNJAB,1.34256984684E9,42,,3,0000000000000000025e
617,345168.466356,MANSA,PUNJAB,2.11033572667E9,37,,3,0000000000000000025f
618,353904.864147,SRI MUKTSAR SAHIB,PUNJAB,2.57052572214E9,39,,3,00000000000000000260
619,315615.195863,SAS NAGAR (SAHIBZADA AJIT SINGH NAGAR),PUNJAB,1.06534820738E9,608,,3,00000000000000000261
620,455724.597931,JALANDHAR,PUNJAB,2.57878350538E9,34,,3,00000000000000000262
621,246908.587369,PATHANKOT,PUNJAB,9.33021429607E8,662,,3,00000000000000000263
622,232052.269593,FARIDKOT,PUNJAB,1.42377513523E9,29,,3,00000000000000000264
623,305850.123395,MOGA,PUNJAB,2.19488516727E9,38,,3,00000000000000000265
624,432605.848036,HOSHIARPUR,PUNJAB,3.31139243664E9,33,,3,00000000000000000266
625,423493.075969,BATHINDA,PUNJAB,3.28672868583E9,28,,3,00000000000000000267
626,314763.305217,TARN TARAN,PUNJAB,2.36108761376E9,609,,3,00000000000000000268
627,365353.754267,FAZILKA,PUNJAB,2.79883058865E9,651,,3,00000000000000000269
628,638392.494574,PATIALA,PUNJAB,3.22729480075E9,41,,3,0000000000000000026a
629,263509.141549,SHAHID BHAGAT SINGH NAGAR,PUNJAB,1.23429626652E9,40,,3,0000000000000000026b
630,246764.006365,BARNALA,PUNJAB,1.38679290683E9,605,,3,0000000000000000026c
631,329343.615225,GURDASPUR,PUNJAB,2.55262289918E9,32,,3,0000000000000000026d
632,437645.667489,KAPURTHALA,PUNJAB,1.595462047E9,35,,3,0000000000000000026e
633,244335.235364,FATEHGARH SAHIB,PUNJAB,1.12205275054E9,30,,3,0000000000000000026f
634,380102.553442,AMRITSAR,PUNJAB,2.62310571541E9,27,,3,00000000000000000270
635,193402.215269,MALER KOTLA,PUNJAB,6.6446686925E8,737,,3,00000000000000000271
636,459469.138396,SANGRUR,PUNJAB,2.84613229438E9,43,,3,00000000000000000272
844,62113.0761341,CHANDIGARH,CHANDIGARH,1.11867387095E8,055,,4,0000000000000000033e
773,315673.159842,B>GESHWAR,UTTAR>KHAND,2.1730759134E9,46,,5,000000000000000002fa
774,271591.235892,CHAMP>WAT,UTTAR>KHAND,1.71518695297E9,48,,5,000000000000000002fb
776,286769.766106,HARIDW>R,UTTAR>KHAND,2.22089327278E9,50,,5,000000000000000002fc
777,434894.751473,NAINIT>L,UTTAR>KHAND,3.86976967939E9,51,,5,000000000000000002fd
778,414490.254454,PAURI GARHW>L,UTTAR>KHAND,5.13134107878E9,52,,5,000000000000000002fe
779,249893.932643,RUDRAPRAY>G,UTTAR>KHAND,1.9365214561E9,54,,5,000000000000000002ff
780,546162.691053,TEHRI GARHW>L,UTTAR>KHAND,3.80699420248E9,55,,5,00000000000000000300
781,568974.772093,UDHAM SINGH NAGAR,UTTAR>KHAND,2.58799800606E9,56,,5,00000000000000000301
782,522183.067166,CHAMOLI,UTTAR>KHAND,7.61864499275E9,47,,5,00000000000000000302
783,596635.247595,PITHOR>GARH,UTTAR>KHAND,7.03459119861E9,53,,5,00000000000000000303
784,669211.278143,UTTARK>SHI,UTTAR>KHAND,7.79137971695E9,57,,5,00000000000000000304
848,395525.848826,ALMORA,UTTAR>KHAND,3.05443573038E9,45,,5,0000000000000000033f
862,504741.939419,DEHRAD@N,UTTAR>KHAND,3.01891223738E9,49,,5,00000000000000000340
216,379482.601391,AMBALA,HARYANA,1.47378766432E9,70,,6,000000000000000000d5
217,388320.455062,BHIWANI,HARYANA,3.18440361422E9,81,,6,000000000000000000d6
218,255230.107401,CHARKI DADRI,HARYANA,1.33159115814E9,081N001,,6,000000000000000000d7
219,145747.082444,FARIDABAD,HARYANA,7.1728394711E8,88,,6,000000000000000000d8
220,325531.834856,FATEHABAD,HARYANA,2.45347704098E9,78,,6,000000000000000000d9
221,241233.450302,GURUGRAM,HARYANA,1.21763670632E9,86,,6,000000000000000000da
222,425885.309632,HISAR,HARYANA,3.95978564988E9,80,,6,000000000000000000db
223,328272.190561,JHAJJAR,HARYANA,1.84141062351E9,83,,6,000000000000000000dc
224,398516.277798,JIND,HARYANA,2.63177805463E9,77,,6,000000000000000000dd
225,369309.415549,KAITHAL,HARYANA,2.2504139851E9,73,,6,000000000000000000de
226,346879.837871,KARNAL,HARYANA,2.40145900333E9,74,,6,000000000000000000df
227,259933.177332,KURUKSHETRA,HARYANA,1.63515733168E9,72,,6,000000000000000000e0
228,396168.045147,MAHENDRAGARH,HARYANA,1.86990663139E9,84,,6,000000000000000000e1
229,335294.47268,NUH,HARYANA,1.45171207675E9,87,,6,000000000000000000e2
230,235517.067172,PALWAL,HARYANA,1.3190119463E9,89,,6,000000000000000000e3
231,220844.253483,PANCHKULA,HARYANA,8.58678375049E8,69,,6,000000000000000000e4
232,206750.625924,PANIPAT,HARYANA,1.26286779003E9,75,,6,000000000000000000e5
233,296539.588566,REWARI,HARYANA,1.458944487E9,85,,6,000000000000000000e6
234,245463.49585,ROHTAK,HARYANA,1.61622466592E9,82,,6,000000000000000000e7
235,426814.018358,SIRSA,HARYANA,4.14787122031E9,79,,6,000000000000000000e8
236,279223.432471,SONIPAT,HARYANA,2.08919447116E9,76,,6,000000000000000000e9
237,274920.562862,YAMUNANAGAR,HARYANA,1.67441431053E9,71,,6,000000000000000000ea
165,48005.038576,NAZUL,DELHI,2.4118684104E7,95,,7,000000000000000000a2
166,111613.648283,SOUTH WEST,DELHI,2.74177793912E8,97,,7,000000000000000000a3
167,73954.3381902,WEST,DELHI,1.27209041681E8,96,,7,000000000000000000a4
168,72339.2436814,CENTRAL,DELHI,7.90673319876E7,95,,7,000000000000000000a5
169,24536.8306185,EAST,DELHI,3.05107229195E7,093,,7,000000000000000000a6
170,80699.2507093,NEW DELHI,DELHI,1.51623804174E8,94,,7,000000000000000000a7
171,110611.97662,NORTH,DELHI,2.82183219746E8,91,,7,000000000000000000a8
172,33443.7966534,SHAHADARA,DELHI,3.32878442385E7,671,,7,000000000000000000a9
173,47370.0294777,NORTH EAST,DELHI,3.42059048613E7,92,,7,000000000000000000aa
174,59431.1070098,SOUTH EAST,DELHI,9.81305184816E7,670,,7,000000000000000000ab
175,69956.0418455,SOUTH,DELHI,1.54141200689E8,98,,7,000000000000000000ac
176,93419.7274114,NORTH WEST,DELHI,1.49032948371E8,90,,7,000000000000000000ad
637,466360.607871,AJMER,RAJASTHAN,3.90566927647E9,119,,8,00000000000000000273
638,714961.475858,ALWAR,RAJASTHAN,4.60927914743E9,104,,8,00000000000000000274
639,471370.023184,ANOOPGARH,RAJASTHAN,4.38787856583E9,099N001,,8,00000000000000000275
640,587046.783248,BALOTRA,RAJASTHAN,9.11387494815E9,115N001,,8,00000000000000000276
641,438449.679531,BANSWARA,RAJASTHAN,4.33261761015E9,125,,8,00000000000000000277
642,640610.766867,BARAN,RAJASTHAN,6.73160333304E9,128,,8,00000000000000000278
643,867387.920272,BARMER,RAJASTHAN,1.82074875756E10,115,,8,00000000000000000279
644,507621.795402,BEAWAR,RAJASTHAN,4.2955005483E9,131N006,,8,0000000000000000027a
645,468102.295109,BHARATPUR,RAJASTHAN,2.80074659861E9,105,,8,0000000000000000027b
646,802820.112438,BHILWARA,RAJASTHAN,6.4091608896E9,122,,8,0000000000000000027c
647,1203884.77165,BIKANER,RAJASTHAN,2.92482889665E10,101,,8,0000000000000000027d
